Element,ratio of EN,ratio of EA,ratio of IE,ratio of X,ratio of density,ratio of weight,ratio of radius,ratio of covalent radius,ratio of ionic radius,oxidation state (n-1/2),t (atomic radius/fully doping),t (atomic radius/6.25% doping),t (ionic radius/fully doping),t (ionic radius/6.25% doping),ratio of heat of formation (eV/atom),ratio of specific heat (J/kgK),ratio of heat vaporazation (kJ/mol),formation energy (eV),charge transition (+/0) (eV)
Ca_Cs,1.266,0.052,1.570,1.4059,0.8249,0.3016,0.6510,0.7733,0.5747,1,0.8404,1.1055,0.6695,0.8146,1.027,2.607,2.385,0.6470,1.50
Ba_Cs,1.127,0.307,1.339,1.2271,1.8680,1.0333,0.8490,0.8800,0.7759,1,1.0008,1.1156,0.7427,0.8192,1.161,0.847,2.154,-0.2155,1.50
Sr_Cs,1.203,0.111,1.463,1.3165,1.3997,0.6593,0.7349,0.8533,0.6782,1,0.9084,1.1098,0.7071,0.8169,1.088,1.240,2.108,-0.1154,1.50
Y_Cs,1.544,0.651,1.597,1.4948,2.3800,0.6690,0.7114,0.7200,0.5172,2,0.8893,1.1086,0.6485,0.8133,0.886,1.231,5.846,1.6964,1.50
Cu_Cs,2.405,2.602,1.984,2.0510,4.7685,0.4781,0.4866,0.6133,0.4195,1,0.7071,1.0972,0.6130,0.8111,0.137,1.588,4.615,1.2155,0.00
Mo_Cs,2.734,1.580,1.821,1.7953,5.4710,0.7220,0.6376,0.6444,0.3736,5,0.8295,1.1049,0.5962,0.8100,0.182,1.037,9.231,1.0043,0.69
Cd_Cs,2.139,0.000,2.310,2.0603,4.6035,0.8459,0.5403,0.6578,0.5460,1,0.7506,1.0999,0.6590,0.8139,0.389,0.950,1.538,0.0403,1.50
Zr_Cs,1.684,0.903,1.704,1.6173,3.4651,0.6864,0.6913,0.6578,0.4138,3,0.8730,1.1076,0.6109,0.8109,0.560,1.149,8.923,0.5874,0.70
Al_Cs,2.038,0.934,1.484,1.4245,1.4369,0.2030,0.3960,0.5244,0.3075,2,0.6337,1.0926,0.5722,0.8085,0.444,3.736,4.508,2.3352,0.00
Ga_Cs,2.291,0.635,1.541,1.4428,3.1421,0.5246,0.4564,0.5600,0.3563,2,0.6826,1.0957,0.5900,0.8096,0.313,1.533,3.938,1.4894,0.00
In_Cs,2.253,0.635,1.486,1.3941,3.8904,0.8639,0.5235,0.6400,0.4598,2,0.7370,1.0991,0.6276,0.8120,0.277,0.963,3.538,1.0067,1.50
